ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,fiftytwo_week_high,fiftytwo_week_low,sma_21,sma_50,sma_200,rsi,atr,atr%,up_3_days,down_3_days,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time
URI,856.98,-1.85,-16.19,0.34,2024-11-27,880.32,475.5,841.24,825.57,719.62,55.99,21.0,2.45,0,0,873.17,2024-11-26,856.98,2024-11-27,-0.86,880.32,2024-11-06,785.99,2024-11-04,8.0,880.32,2024-11-06,541.39,2024-01-05,51.12,880.32,2024-11-06,3.03,2009-03-09,5613.2
USB,53.48,-0.34,-0.18,4.49,2024-11-27,53.66,37.79,50.49,48.16,43.68,68.71,1.09,2.04,0,0,53.66,2024-11-26,53.48,2024-11-27,-0.28,53.66,2024-11-26,47.19,2024-11-04,11.79,53.66,2024-11-26,38.45,2024-06-11,21.79,63.25,2022-01-14,0.33,1974-09-16,11498.07
V,314.7,0.92,2.88,4.21,2024-11-27,314.7,253.74,305.53,290.88,278.2,70.09,4.59,1.46,0,0,314.7,2024-11-27,311.82,2024-11-26,0.48,314.7,2024-11-27,290.74,2024-11-01,8.24,314.7,2024-11-27,253.74,2024-07-25,21.57,314.7,2024-11-27,10.6,2009-01-20,2127.96
VICI,32.6,0.68,0.22,4.63,2024-11-27,34.06,27.15,31.8,32.35,30.48,58.05,0.5,1.52,0,0,32.6,2024-11-27,32.38,2024-11-26,0.22,32.6,2024-11-27,30.93,2024-11-07,3.69,34.06,2024-09-10,27.15,2024-04-16,-0.18,35.53,2022-08-15,11.2,2020-03-18,62.19
VLO,138.56,-0.89,-1.24,1.91,2024-11-27,183.39,120.9,137.26,136.83,149.7,51.14,3.41,2.46,0,1,139.82,2024-11-25,138.56,2024-11-27,-0.9,144.01,2024-11-18,128.22,2024-11-01,8.06,183.39,2024-04-05,124.77,2024-01-10,6.05,183.39,2024-04-05,1.03,1988-02-12,2413.32
VLTO,107.97,0.01,0.01,0.68,2024-11-27,113.6,74.22,104.45,108.06,100.12,58.01,1.94,1.8,0,0,108.48,2024-11-25,107.96,2024-11-26,-0.47,108.48,2024-11-25,101.59,2024-11-01,6.28,113.6,2024-10-18,74.55,2024-01-16,33.26,113.6,2024-10-18,67.51,2023-11-01,38.78
VMC,286.39,-0.7,-2.01,0.39,2024-11-27,292.31,211.93,282.43,263.92,257.85,62.36,5.77,2.02,0,0,290.37,2024-11-25,286.39,2024-11-27,-1.37,292.31,2024-11-08,268.86,2024-11-04,5.92,292.31,2024-11-08,219.33,2024-01-03,28.08,292.31,2024-11-08,0.85,1973-12-05,25356.89
VRSK,294.56,-0.06,-0.19,0.36,2024-11-27,294.75,217.96,283.92,274.26,258.65,71.86,4.69,1.59,0,0,294.75,2024-11-26,291.49,2024-11-25,1.05,294.75,2024-11-26,275.48,2024-11-01,6.93,294.75,2024-11-26,217.96,2024-04-30,23.78,294.75,2024-11-26,26.25,2009-10-12,982.15
VRSN,191.63,3.49,6.47,0.89,2024-11-27,220.02,168.32,182.22,184.12,182.25,63.66,3.94,2.06,1,0,191.63,2024-11-27,181.91,2024-11-25,5.34,191.63,2024-11-27,176.68,2024-11-01,8.46,206.35,2024-01-23,168.32,2024-05-03,-4.93,255.93,2021-12-29,4.13,2002-10-08,2905.96
VRTX,464.56,-0.54,-2.51,0.91,2024-11-27,516.74,350.15,476.41,473.1,455.02,45.99,12.24,2.64,0,0,467.07,2024-11-26,461.71,2024-11-25,0.62,516.74,2024-11-08,448.01,2024-11-19,-1.39,516.74,2024-11-08,392.81,2024-04-30,13.06,516.74,2024-11-08,3.38,1992-06-18,10223.56
VST,154.52,-5.0,-8.14,4.78,2024-11-27,166.61,34.92,141.74,131.25,90.84,59.3,8.72,5.64,0,0,162.66,2024-11-26,154.14,2024-11-25,0.25,166.61,2024-11-21,115.74,2024-11-04,29.29,166.61,2024-11-21,38.07,2024-01-02,305.88,166.61,2024-11-21,12.6,2020-03-18,896.9
VTR,64.54,0.45,0.29,2.12,2024-11-27,66.48,41.68,64.32,64.09,53.65,52.78,1.13,1.75,0,0,64.54,2024-11-27,63.2,2024-11-25,2.12,65.15,2024-11-08,63.2,2024-11-25,0.55,66.48,2024-10-30,41.68,2024-04-16,27.63,94.7,2013-05-21,3.21,2000-03-15,163.64
VTRS,13.22,1.07,0.14,4.62,2024-11-27,13.53,9.13,12.66,12.01,11.63,63.41,0.34,2.57,0,0,13.36,2024-11-25,13.08,2024-11-26,-1.05,13.37,2024-11-22,11.45,2024-11-04,13.77,13.53,2024-02-23,10.05,2024-06-18,16.07,76.06,2015-04-24,1.0,1980-10-28,815.23
