ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,fiftytwo_week_high,fiftytwo_week_low,sma_21,sma_50,sma_200,rsi,atr,atr%,up_3_days,down_3_days,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time
ALLE,141.41,0.73,1.02,0.86,2024-11-27,153.36,104.59,140.81,143.91,131.75,48.65,2.55,1.81,0,0,142.67,2024-11-25,140.39,2024-11-26,-0.88,143.78,2024-11-08,138.12,2024-11-19,1.13,153.36,2024-10-18,114.65,2024-06-26,13.81,153.36,2024-10-18,40.7,2013-12-06,191.69
AMAT,171.32,-1.09,-1.88,4.33,2024-11-27,254.97,144.7,180.25,188.98,203.92,38.63,5.56,3.25,0,1,174.55,2024-11-25,171.32,2024-11-27,-1.85,194.09,2024-11-07,168.88,2024-11-15,-6.58,254.97,2024-07-10,149.0,2024-01-05,10.98,254.97,2024-07-10,0.08,1980-03-27,179318.98
AMCR,10.5,1.06,0.11,19.36,2024-11-27,11.44,8.83,10.35,10.82,10.14,50.09,0.25,2.42,0,0,10.5,2024-11-27,10.39,2024-11-26,0.19,10.5,2024-11-27,9.89,2024-11-19,2.34,11.44,2024-08-30,8.83,2024-04-16,7.69,13.49,2022-06-06,5.95,2020-03-16,36.36
AMD,136.24,-1.07,-1.48,30.08,2024-11-27,211.38,116.82,141.46,152.95,160.03,38.46,4.85,3.56,0,0,141.13,2024-11-25,136.24,2024-11-27,-3.46,149.82,2024-11-07,134.9,2024-11-15,-3.96,211.38,2024-03-07,128.67,2024-08-07,-1.69,211.38,2024-03-07,1.62,2015-07-27,4230.81
AME,195.1,-0.97,-1.92,0.75,2024-11-27,197.38,152.74,190.15,178.13,173.41,68.85,3.02,1.55,0,1,197.12,2024-11-25,195.1,2024-11-27,-1.02,197.38,2024-11-22,178.43,2024-11-01,9.34,197.38,2024-11-22,152.74,2024-08-02,19.79,197.38,2024-11-22,1.28,1990-09-28,10761.24
AMGN,280.07,0.02,0.06,6.43,2024-11-27,337.38,262.75,302.23,313.58,305.78,31.68,9.35,3.34,0,0,294.0,2024-11-25,280.01,2024-11-26,-4.74,325.28,2024-11-08,278.76,2024-11-18,-12.26,337.38,2024-09-20,262.75,2024-04-18,-5.82,337.38,2024-09-20,0.08,1984-11-19,81374.91
AMP,571.91,-0.37,-2.1,0.25,2024-11-27,574.01,348.35,551.22,516.89,448.34,69.61,9.66,1.69,0,0,574.01,2024-11-26,570.21,2024-11-25,0.3,574.01,2024-11-26,506.59,2024-11-04,12.76,574.01,2024-11-26,372.06,2024-01-17,50.89,574.01,2024-11-26,12.37,2008-11-21,1445.29
AMT,209.3,0.63,1.3,1.66,2024-11-27,242.83,171.0,203.35,216.91,205.14,52.63,4.49,2.14,1,0,209.3,2024-11-27,207.55,2024-11-25,0.84,213.85,2024-11-05,193.72,2024-11-12,-0.93,242.83,2024-09-10,171.0,2024-04-18,-4.35,303.62,2021-09-08,0.71,2002-10-09,1104.6
AMTM,23.9,-2.89,-0.71,1.02,2024-11-27,33.4,21.94,27.66,,,38.21,1.73,7.24,0,0,24.81,2024-11-25,23.9,2024-11-27,-3.67,33.4,2024-11-08,21.94,2024-11-19,-22.38,33.4,2024-11-08,21.94,2024-11-19,-19.01,33.4,2024-11-08,21.94,2024-11-19,-19.01
AMZN,205.74,-1.02,-2.12,26.92,2024-11-27,214.1,144.52,202.92,194.13,184.3,56.62,5.13,2.49,0,0,207.86,2024-11-26,201.45,2024-11-25,2.13,214.1,2024-11-13,195.78,2024-11-04,3.95,214.1,2024-11-13,144.57,2024-01-04,37.22,214.1,2024-11-13,0.07,1997-05-22,210016.74
ANET,402.29,-1.48,-6.04,1.51,2024-11-27,431.02,213.4,396.73,395.8,332.28,53.46,13.03,3.24,0,0,408.33,2024-11-26,399.72,2024-11-25,0.64,431.02,2024-11-07,370.47,2024-11-18,2.06,431.02,2024-11-07,229.4,2024-01-03,73.73,431.02,2024-11-07,13.25,2016-02-09,2825.75
ANSS,348.02,-0.52,-1.83,0.41,2024-11-27,362.88,279.27,339.4,329.84,326.84,59.34,7.1,2.04,0,0,352.14,2024-11-25,348.02,2024-11-27,-1.17,355.58,2024-11-07,323.75,2024-11-01,7.5,357.79,2024-01-11,296.54,2024-08-05,-1.41,411.22,2021-12-27,1.41,1997-04-22,11622.78
AON,393.31,0.78,3.06,0.62,2024-11-27,393.31,275.82,379.59,364.92,324.65,71.87,6.36,1.62,1,0,393.31,2024-11-27,389.72,2024-11-25,0.92,393.31,2024-11-27,364.42,2024-11-01,7.93,393.31,2024-11-27,275.82,2024-05-29,36.56,393.31,2024-11-27,2.48,1981-02-20,14547.41
AOS,74.1,0.27,0.2,0.61,2024-11-27,91.98,71.41,74.11,79.46,82.68,44.04,1.48,2.0,0,0,75.43,2024-11-25,73.9,2024-11-26,-1.76,76.21,2024-11-06,71.41,2024-11-19,-1.72,91.98,2024-07-16,71.41,2024-11-19,-9.01,91.98,2024-07-16,0.55,1987-12-15,6740.0
APA,22.52,0.0,0.0,4.55,2024-11-27,37.29,21.77,22.67,24.2,28.69,43.75,0.78,3.48,0,0,22.67,2024-11-25,22.52,2024-11-26,-0.66,24.73,2024-11-06,21.77,2024-11-08,-2.47,36.75,2024-01-03,21.77,2024-11-08,-37.64,146.8,2008-05-20,2.71,1988-09-16,532.69
APD,333.22,-0.47,-1.56,1.29,2024-11-27,334.78,215.38,318.8,313.31,270.71,70.9,5.62,1.69,0,0,334.78,2024-11-26,333.22,2024-11-27,-0.22,334.78,2024-11-26,306.09,2024-11-04,7.76,334.78,2024-11-26,215.38,2024-02-07,21.85,334.78,2024-11-26,2.78,1982-08-12,8252.71
APH,72.74,-0.71,-0.52,4.75,2024-11-27,74.29,45.09,71.45,68.23,63.57,58.35,1.63,2.24,0,1,73.29,2024-11-25,72.74,2024-11-27,-0.75,74.29,2024-11-22,67.86,2024-11-01,7.19,74.29,2024-11-22,47.23,2024-01-05,50.24,74.29,2024-11-22,0.08,1992-10-29,50228.3
APTV,55.52,0.43,0.24,2.7,2024-11-27,90.47,52.11,55.6,64.27,71.93,41.18,2.19,3.95,0,0,57.13,2024-11-25,55.28,2024-11-26,-2.82,57.13,2024-11-25,52.11,2024-11-19,-1.51,90.17,2024-01-02,52.11,2024-11-19,-38.43,178.12,2021-11-03,16.45,2011-11-23,210.53
ARE,110.52,-1.1,-1.23,0.81,2024-11-27,134.45,104.31,109.93,114.81,118.65,48.54,2.45,2.21,0,0,112.04,2024-11-25,110.52,2024-11-27,-1.36,114.04,2024-11-08,104.31,2024-11-20,-0.31,129.75,2024-01-08,104.31,2024-11-20,-14.53,223.57,2021-12-29,21.0,1997-05-28,426.29
ASML,670.48,-0.22,-1.49,1.21,2024-11-27,1098.95,658.43,671.91,737.57,889.44,42.55,19.61,2.92,0,0,684.47,2024-11-25,670.48,2024-11-27,-2.04,692.96,2024-11-14,658.43,2024-11-20,-0.63,1098.95,2024-07-10,658.43,2024-11-20,-6.48,1098.95,2024-07-10,2.11,1995-03-15,31685.72
ATO,151.43,0.73,1.1,0.94,2024-11-27,151.43,110.89,144.71,141.8,125.6,74.76,2.12,1.4,1,0,151.43,2024-11-27,150.18,2024-11-25,0.83,151.43,2024-11-27,137.67,2024-11-04,9.41,151.43,2024-11-27,110.89,2024-01-24,29.5,151.43,2024-11-27,5.04,1984-08-30,2612.18
AVB,237.81,1.03,2.42,0.53,2024-11-27,237.81,169.99,228.83,226.58,205.55,64.75,4.17,1.75,1,0,237.81,2024-11-27,232.9,2024-11-25,2.11,237.81,2024-11-27,216.28,2024-11-01,9.95,237.81,2024-11-27,169.99,2024-02-05,26.38,258.26,2022-03-29,17.0,1995-04-25,1039.21
AVGO,159.67,-3.08,-5.07,19.47,2024-11-27,185.95,90.36,170.49,173.72,152.13,34.51,5.12,3.21,0,0,164.82,2024-11-25,159.67,2024-11-27,-3.12,183.81,2024-11-07,159.67,2024-11-27,-5.48,185.95,2024-10-09,104.9,2024-01-04,47.11,185.95,2024-10-09,1.45,2009-11-03,9768.36
AVY,205.15,0.26,0.53,0.46,2024-11-27,229.52,190.93,203.26,210.12,216.19,50.21,3.53,1.72,0,0,207.94,2024-11-25,204.62,2024-11-26,-1.34,207.94,2024-11-25,197.0,2024-11-19,-0.47,229.52,2024-06-24,195.39,2024-01-08,2.74,229.52,2024-06-24,1.56,1978-03-15,3878.67
AWK,138.31,0.52,0.72,0.75,2024-11-27,149.9,113.82,135.81,139.34,132.72,53.13,2.56,1.85,0,0,138.31,2024-11-27,136.74,2024-11-25,1.15,138.79,2024-11-21,132.02,2024-11-14,1.7,149.9,2024-09-17,113.82,2024-04-16,3.6,188.86,2021-12-31,16.53,2009-03-10,571.41
AXON,634.96,0.44,2.8,0.51,2024-11-27,636.95,225.86,556.35,478.26,354.68,77.91,19.74,3.11,0,0,634.96,2024-11-27,619.0,2024-11-25,2.58,636.95,2024-11-22,425.84,2024-11-01,49.11,636.95,2024-11-22,244.21,2024-01-05,152.34,636.95,2024-11-22,0.28,2002-10-15,137934.78
AXP,304.25,-0.43,-1.32,1.7,2024-11-27,305.57,167.43,287.86,278.59,245.63,69.49,5.67,1.86,0,0,305.57,2024-11-26,304.25,2024-11-27,-0.31,305.57,2024-11-26,270.19,2024-11-04,11.57,305.57,2024-11-26,179.79,2024-01-18,61.57,305.57,2024-11-26,1.13,1974-10-03,8137.92
AZN,67.2,1.27,0.84,4.13,2024-11-27,87.62,61.03,66.19,72.72,74.78,45.31,1.4,2.08,0,0,67.2,2024-11-27,66.36,2024-11-26,1.2,71.43,2024-11-04,63.2,2024-11-20,-5.91,87.62,2024-08-30,61.03,2024-02-13,-1.75,87.62,2024-08-30,4.48,1993-07-22,1232.89
AZO,3190.1,1.46,45.89,0.14,2024-11-27,3239.32,2521.28,3107.67,3114.28,3026.39,57.28,64.5,2.02,1,0,3190.1,2024-11-27,3109.56,2024-11-25,2.59,3196.38,2024-11-06,2981.19,2024-11-01,7.01,3239.32,2024-03-22,2521.28,2024-01-09,24.2,3239.32,2024-03-22,7.12,1991-04-05,43339.66
BA,152.4,1.09,1.64,5.19,2024-11-27,264.27,138.14,148.14,151.47,172.95,54.1,4.67,3.07,0,0,153.1,2024-11-25,150.76,2024-11-26,-0.46,155.07,2024-11-04,138.14,2024-11-14,-1.42,251.76,2024-01-02,138.14,2024-11-14,-39.47,440.62,2019-03-01,0.38,1974-01-08,18416.6
BAC,47.77,0.04,0.02,17.24,2024-11-27,47.77,30.31,45.26,42.73,39.47,74.32,0.83,1.73,1,0,47.77,2024-11-27,47.5,2024-11-25,0.57,47.77,2024-11-27,41.33,2024-11-04,14.39,47.77,2024-11-27,31.73,2024-01-18,40.91,54.9,2006-11-16,0.83,1974-12-20,932.86
BALL,62.6,0.37,0.23,1.67,2024-11-27,70.72,54.63,60.95,63.81,64.64,53.1,1.19,1.9,0,0,62.6,2024-11-27,62.37,2024-11-26,0.22,62.6,2024-11-27,59.01,2024-11-01,6.08,70.72,2024-04-29,54.63,2024-01-17,9.86,97.91,2020-11-19,0.12,1973-11-26,22313.42
BAX,33.31,1.34,0.44,3.61,2024-11-27,43.77,31.7,34.02,35.81,37.29,41.61,0.85,2.56,0,0,33.42,2024-11-25,32.87,2024-11-26,-0.33,36.11,2024-11-06,31.7,2024-11-14,-7.14,43.77,2024-03-08,31.7,2024-11-14,-14.26,94.14,2020-04-20,2.96,1984-12-04,764.26
BBY,88.17,-0.35,-0.31,3.91,2024-11-27,103.3,69.63,89.96,94.16,85.47,43.3,3.13,3.55,0,0,93.03,2024-11-25,88.17,2024-11-27,-5.22,93.03,2024-11-25,86.51,2024-11-21,-3.0,103.3,2024-09-30,69.63,2024-05-23,14.12,138.0,2021-11-22,0.14,1985-05-02,52801.89
BDX,221.98,-1.01,-2.27,2.37,2024-11-27,247.73,221.47,229.31,234.65,235.61,36.26,4.37,1.97,0,0,225.48,2024-11-25,221.98,2024-11-27,-1.55,240.06,2024-11-06,221.98,2024-11-27,-5.64,247.73,2024-01-08,221.47,2024-07-09,-9.55,283.59,2023-07-27,1.28,1974-08-19,9705.98
BEN,22.68,2.12,0.47,3.09,2024-11-27,30.18,19.13,21.5,20.82,23.1,65.79,0.54,2.4,0,0,22.72,2024-11-25,22.21,2024-11-26,-0.18,22.72,2024-11-25,20.16,2024-11-04,8.83,29.33,2024-01-08,19.13,2024-09-06,-22.57,58.84,2014-12-08,0.04,1984-11-16,35780.4
BF-B,41.7,0.8,0.33,2.27,2024-11-27,60.78,40.22,41.78,45.36,47.24,42.28,1.06,2.53,0,0,42.57,2024-11-25,41.37,2024-11-26,-2.04,43.79,2024-11-04,40.22,2024-11-19,-4.34,60.78,2024-03-05,40.22,2024-11-19,-26.65,81.82,2020-11-24,0.41,1980-03-27,9313.88
BG,88.91,-0.84,-0.75,0.85,2024-11-27,114.56,82.62,87.3,91.68,99.5,49.06,2.09,2.35,0,0,89.66,2024-11-26,88.44,2024-11-25,0.53,91.31,2024-11-18,82.62,2024-11-01,7.61,114.56,2024-07-30,82.62,2024-11-01,-12.4,133.0,2008-01-14,15.85,2001-08-17,455.69
BIIB,159.83,1.36,2.14,1.27,2024-11-27,267.71,155.43,166.35,179.46,206.63,31.78,4.16,2.61,0,0,159.83,2024-11-27,157.69,2024-11-26,0.71,176.93,2024-11-05,155.43,2024-11-19,-8.03,267.71,2024-01-02,155.43,2024-11-19,-40.3,475.98,2015-03-20,0.35,1994-12-16,5014.56
BK,81.74,0.58,0.47,2.82,2024-11-27,81.74,47.52,78.0,75.67,63.94,72.23,1.22,1.49,1,0,81.74,2024-11-27,81.22,2024-11-25,0.64,81.74,2024-11-27,75.0,2024-11-04,8.54,81.74,2024-11-27,51.8,2024-01-03,56.05,81.74,2024-11-27,0.98,1974-09-13,5383.63
BKNG,5223.15,0.16,8.43,0.17,2024-11-27,5223.15,3125.7,4972.09,4552.83,3918.57,73.52,100.05,1.92,0,0,5223.15,2024-11-27,5108.83,2024-11-25,2.24,5223.15,2024-11-27,4749.11,2024-11-01,9.98,5223.15,2024-11-27,3305.62,2024-08-07,50.07,5223.15,2024-11-27,6.6,2002-10-09,950.41
BKR,43.61,0.18,0.08,2.91,2024-11-27,44.88,28.5,42.19,39.09,34.72,65.04,1.03,2.36,0,0,43.61,2024-11-27,43.53,2024-11-26,0.14,44.88,2024-11-21,37.85,2024-11-01,15.22,44.88,2024-11-21,28.5,2024-01-31,28.53,98.67,2007-10-16,9.33,2020-03-23,134.15
BLDR,184.75,-0.63,-1.17,0.7,2024-11-27,211.12,132.6,178.56,185.91,175.81,54.26,6.4,3.46,0,0,189.03,2024-11-25,184.75,2024-11-27,-2.26,189.03,2024-11-25,172.02,2024-11-01,7.4,211.12,2024-03-21,132.6,2024-07-05,11.71,211.12,2024-03-21,0.83,2008-12-01,1055.41
BLK,1019.45,-0.68,-7.03,0.46,2024-11-27,1053.84,743.07,1024.63,991.21,859.39,51.83,19.07,1.87,0,1,1031.49,2024-11-25,1019.45,2024-11-27,-1.17,1053.84,2024-11-11,985.08,2024-11-01,3.49,1053.84,2024-11-11,747.3,2024-04-18,27.38,1053.84,2024-11-11,12.81,1999-10-18,7117.35
BMY,59.27,0.9,0.53,3.95,2024-11-27,59.82,39.66,57.0,54.21,48.68,63.74,1.55,2.62,0,0,59.27,2024-11-27,58.74,2024-11-26,0.83,59.82,2024-11-11,54.14,2024-11-08,9.11,59.82,2024-11-11,39.66,2024-07-05,12.34,81.13,2022-12-02,0.94,1974-10-01,3075.67
BR,235.8,-0.27,-0.64,0.36,2024-11-27,236.44,190.46,224.06,218.96,206.98,74.46,3.61,1.53,0,0,236.44,2024-11-26,233.23,2024-11-25,1.1,236.44,2024-11-26,209.64,2024-11-04,12.17,236.44,2024-11-26,190.46,2024-05-08,17.96,236.44,2024-11-26,9.72,2008-11-20,1073.13
BRK-B,483.08,0.94,4.52,4.13,2024-11-27,483.08,352.38,465.48,461.23,430.63,68.79,6.9,1.43,1,0,483.08,2024-11-27,477.43,2024-11-25,1.18,483.08,2024-11-27,442.29,2024-11-04,6.84,483.08,2024-11-27,359.29,2024-01-17,33.28,483.08,2024-11-27,20.1,1996-06-03,1982.24
BRO,113.2,-0.19,-0.22,0.77,2024-11-27,113.42,69.45,109.85,106.72,94.89,65.58,1.85,1.63,0,0,113.42,2024-11-26,111.74,2024-11-25,1.31,113.42,2024-11-26,104.17,2024-11-01,8.67,113.42,2024-11-26,69.45,2024-01-03,60.0,113.42,2024-11-26,0.11,1983-12-22,63574.92
BSX,90.75,0.6,0.54,2.83,2024-11-27,91.5,54.77,87.94,86.42,76.93,62.92,1.75,1.93,0,0,90.75,2024-11-27,89.25,2024-11-25,1.68,91.5,2024-11-21,83.62,2024-11-01,8.53,91.5,2024-11-21,57.6,2024-01-03,56.9,91.5,2024-11-21,2.41,1993-10-07,2019.71
BWA,34.28,0.32,0.11,0.91,2024-11-27,37.72,30.16,34.18,34.55,33.63,50.23,0.93,2.72,0,0,35.18,2024-11-25,34.17,2024-11-26,-2.56,35.18,2024-11-25,33.13,2024-11-19,2.51,37.72,2024-05-09,30.16,2024-02-20,-4.62,59.31,2014-07-09,2.39,1993-09-14,1146.15
BX,189.02,-1.38,-2.64,1.86,2024-11-27,199.05,111.37,181.05,168.04,138.57,63.71,4.79,2.53,0,1,193.12,2024-11-25,189.02,2024-11-27,-2.12,199.05,2024-11-22,167.04,2024-11-04,12.42,199.05,2024-11-22,116.13,2024-05-29,47.36,199.05,2024-11-22,3.87,2009-02-26,439.13
BXP,82.86,-0.43,-0.36,0.9,2024-11-27,89.72,56.93,80.76,82.42,69.48,55.68,2.05,2.47,0,0,83.22,2024-11-26,82.12,2024-11-25,0.9,83.22,2024-11-26,78.41,2024-11-18,4.67,89.72,2024-10-18,57.17,2024-05-29,14.92,147.51,2020-02-18,23.88,1998-09-11,209.76
C,70.16,0.59,0.41,9.27,2024-11-27,70.75,45.75,67.82,64.97,61.9,62.55,1.46,2.07,0,0,70.75,2024-11-25,69.75,2024-11-26,-0.83,70.75,2024-11-25,62.35,2024-11-04,10.12,70.75,2024-11-25,51.11,2024-01-18,32.28,588.75,2000-08-28,10.2,2009-03-05,332.1
CAG,27.45,-0.15,-0.04,3.22,2024-11-27,32.83,26.48,27.87,29.36,29.71,38.39,0.52,1.9,0,0,27.49,2024-11-26,27.45,2024-11-25,0.0,29.08,2024-11-05,26.48,2024-11-19,-5.25,32.83,2024-09-09,26.48,2024-11-19,-7.04,41.5,2017-03-15,0.44,1980-04-03,5543.72
CAH,122.63,0.16,0.19,0.72,2024-11-27,125.33,93.74,118.73,114.51,106.92,60.61,2.8,2.29,0,0,122.63,2024-11-27,121.77,2024-11-25,0.71,125.33,2024-11-13,111.9,2024-11-04,5.6,125.33,2024-11-13,93.74,2024-07-15,19.5,125.33,2024-11-13,1.14,1987-12-03,8791.87
CARR,76.9,-0.05,-0.04,3.89,2024-11-27,82.67,51.96,75.17,77.87,66.66,52.81,1.66,2.15,0,0,78.87,2024-11-25,76.9,2024-11-27,-2.5,78.87,2024-11-25,72.4,2024-11-04,5.94,82.67,2024-10-14,53.38,2024-04-18,36.23,82.67,2024-10-14,11.54,2020-03-23,540.83
CAT,403.7,-1.01,-4.13,1.37,2024-11-27,416.88,249.45,391.14,390.0,354.53,59.11,8.93,2.21,0,0,407.83,2024-11-26,403.7,2024-11-27,-0.48,416.88,2024-11-06,376.52,2024-11-04,6.34,416.88,2024-11-06,278.63,2024-01-17,37.92,416.88,2024-11-06,1.23,1962-06-25,25065.71
CB,290.34,0.64,1.86,0.85,2024-11-27,301.89,218.81,283.29,287.33,268.24,58.44,4.65,1.6,1,0,290.34,2024-11-27,286.42,2024-11-25,1.37,290.34,2024-11-27,276.08,2024-11-04,4.66,301.89,2024-10-17,225.25,2024-01-10,27.71,301.89,2024-10-17,6.92,1994-11-29,2942.86
CBOE,217.84,0.25,0.54,1.33,2024-11-27,217.84,167.6,206.73,208.06,191.5,65.88,4.96,2.28,1,0,217.84,2024-11-27,214.13,2024-11-25,1.73,217.84,2024-11-27,196.86,2024-11-08,3.73,217.84,2024-11-27,167.6,2024-06-14,22.24,217.84,2024-11-27,17.81,2010-09-30,664.25
CBRE,140.71,0.2,0.28,1.55,2024-11-27,140.71,78.96,133.71,128.06,104.38,67.49,3.13,2.23,1,0,140.71,2024-11-27,138.69,2024-11-25,1.46,140.71,2024-11-27,129.4,2024-11-06,8.09,140.71,2024-11-27,83.34,2024-02-05,50.94,140.71,2024-11-27,2.36,2009-03-20,2200.44
CCEP,77.63,-0.4,-0.31,0.94,2024-11-27,81.88,59.7,77.04,77.67,74.3,51.55,1.32,1.71,0,1,78.14,2024-11-25,77.63,2024-11-27,-0.65,78.77,2024-11-14,75.6,2024-11-01,2.69,81.88,2024-09-16,64.61,2024-01-05,16.75,81.88,2024-09-16,3.79,1992-08-24,1355.56
CCI,106.7,0.38,0.4,1.98,2024-11-27,120.25,93.05,105.27,109.82,105.77,50.44,1.99,1.87,1,0,106.7,2024-11-27,106.08,2024-11-25,0.58,108.7,2024-11-05,102.25,2024-11-12,0.11,120.25,2024-09-16,93.05,2024-04-17,-8.51,208.74,2021-12-31,1.02,2002-08-12,720.77
CCL,25.14,-0.79,-0.2,9.11,2024-11-27,25.35,13.9,24.07,21.58,17.42,70.01,0.71,2.83,0,0,25.34,2024-11-26,25.14,2024-11-27,-0.2,25.35,2024-11-21,21.9,2024-11-01,14.79,25.35,2024-11-21,13.9,2024-04-16,45.4,71.94,2018-01-29,2.09,1987-12-03,538.48
CDNS,304.68,-1.75,-5.42,0.92,2024-11-27,326.5,246.84,298.57,280.77,288.59,58.42,8.56,2.81,0,0,312.39,2024-11-25,304.68,2024-11-27,-2.47,312.39,2024-11-25,282.09,2024-11-01,8.01,326.5,2024-06-18,246.84,2024-08-05,15.89,326.5,2024-06-18,0.86,1987-12-07,15134.0
CDW,176.75,-0.59,-1.05,1.6,2024-11-27,257.87,174.05,186.5,206.89,225.19,31.74,4.68,2.65,0,0,181.34,2024-11-25,176.75,2024-11-27,-2.53,202.9,2024-11-07,174.05,2024-11-19,-6.17,257.87,2024-03-27,174.05,2024-11-19,-19.9,257.87,2024-03-27,18.34,2013-07-01,862.17
CE,72.91,0.08,0.06,1.56,2024-11-27,171.86,72.2,86.92,113.64,137.64,19.53,3.48,4.77,0,0,76.5,2024-11-25,72.85,2024-11-26,-4.69,124.81,2024-11-01,72.2,2024-11-19,-41.58,171.86,2024-03-28,72.2,2024-11-19,-52.88,173.82,2022-01-05,7.52,2009-03-03,355.69
CEG,253.39,-5.0,-13.34,2.29,2024-11-27,285.52,110.53,241.48,255.0,206.78,54.5,11.34,4.47,0,0,266.73,2024-11-26,248.93,2024-11-25,1.79,266.73,2024-11-26,224.28,2024-11-15,-1.82,285.52,2024-10-04,111.41,2024-01-18,119.86,285.52,2024-10-04,41.9,2022-01-25,503.31
CF,88.66,0.59,0.52,0.98,2024-11-27,90.64,69.38,86.15,85.68,79.95,58.15,2.03,2.29,0,0,88.66,2024-11-27,87.39,2024-11-25,1.45,90.64,2024-11-21,83.08,2024-11-06,5.47,90.64,2024-11-21,69.38,2024-07-08,8.64,118.35,2022-08-26,2.26,2005-10-13,2636.42
CFG,48.16,0.12,0.06,2.12,2024-11-27,48.46,27.24,45.77,43.29,38.23,67.36,1.12,2.33,0,0,48.46,2024-11-25,48.1,2024-11-26,-0.62,48.46,2024-11-25,41.59,2024-11-04,15.16,48.46,2024-11-25,30.43,2024-02-26,43.72,56.35,2022-01-14,15.32,2020-03-18,108.67
CHD,110.36,-0.02,-0.02,1.05,2024-11-27,112.25,91.36,107.31,104.55,103.96,63.62,1.93,1.75,0,1,110.41,2024-11-25,110.36,2024-11-27,-0.05,112.25,2024-11-21,102.96,2024-11-04,5.36,112.25,2024-11-21,93.87,2024-01-05,16.7,112.25,2024-11-21,0.17,1980-03-27,63750.96
CHRW,105.25,-1.04,-1.11,1.26,2024-11-27,111.68,67.89,107.61,107.93,90.32,40.1,2.26,2.15,0,1,107.54,2024-11-25,105.25,2024-11-27,-2.13,111.68,2024-11-13,101.82,2024-11-01,3.37,111.68,2024-11-13,67.89,2024-04-16,20.8,119.55,2022-08-25,3.69,1998-10-08,1750.55
CHTR,389.81,-0.12,-0.48,0.87,2024-11-27,408.02,254.61,383.43,350.96,313.5,59.69,11.29,2.9,0,0,390.29,2024-11-26,384.47,2024-11-25,1.39,408.02,2024-11-06,366.49,2024-11-01,6.36,408.02,2024-11-06,254.61,2024-04-26,-0.43,821.01,2021-09-02,29.5,2010-02-25,1013.74
CI,336.5,0.45,1.5,1.77,2024-11-27,366.85,257.49,324.82,333.9,341.77,57.4,8.22,2.44,1,0,336.5,2024-11-27,333.01,2024-11-25,1.05,343.06,2024-11-11,312.32,2024-11-04,6.32,366.85,2024-09-16,297.82,2024-01-26,8.51,366.85,2024-09-16,3.01,1984-07-19,5696.17
CINF,160.16,0.34,0.55,0.37,2024-11-27,160.16,100.66,149.92,142.65,126.55,74.87,2.72,1.7,1,0,160.16,2024-11-27,159.42,2024-11-25,0.46,160.16,2024-11-27,138.19,2024-11-04,13.87,160.16,2024-11-27,105.24,2024-01-03,51.27,160.16,2024-11-27,1.07,1980-03-28,11983.31
CL,96.76,0.19,0.18,3.43,2024-11-27,108.77,76.27,93.46,97.61,95.47,57.16,1.59,1.64,1,0,96.76,2024-11-27,95.34,2024-11-25,1.49,96.76,2024-11-27,90.22,2024-11-06,3.68,108.77,2024-09-04,79.89,2024-01-03,19.87,108.77,2024-09-04,0.7,1980-03-24,4738.0
CLX,167.15,-0.12,-0.2,0.95,2024-11-27,169.3,128.21,165.09,162.91,148.95,58.53,2.58,1.55,0,0,167.35,2024-11-26,166.32,2024-11-25,0.5,169.3,2024-11-22,162.42,2024-11-05,2.48,169.3,2024-11-22,128.21,2024-05-29,15.52,237.74,2020-08-04,0.7,1974-12-23,2921.92
CMCSA,42.56,-0.19,-0.08,15.19,2024-11-27,46.73,36.9,43.33,42.18,40.45,47.63,0.89,2.09,0,1,43.2,2024-11-25,42.56,2024-11-27,-1.48,45.14,2024-11-06,42.32,2024-11-19,-2.3,46.73,2024-02-01,36.9,2024-06-18,-2.54,61.75,2021-09-02,0.08,1980-03-27,43530.7
CME,237.33,1.25,2.94,2.13,2024-11-27,237.33,193.43,226.87,224.6,212.34,69.04,3.9,1.65,1,0,237.33,2024-11-27,229.37,2024-11-25,3.47,237.33,2024-11-27,221.17,2024-11-06,6.14,237.33,2024-11-27,193.43,2024-07-12,13.43,250.76,2022-03-21,8.3,2003-02-06,2666.08
CMG,62.05,-1.05,-0.66,5.76,2024-11-27,68.55,43.78,59.05,58.73,58.12,61.79,1.45,2.33,0,0,62.71,2024-11-26,62.0,2024-11-25,0.08,62.71,2024-11-26,56.18,2024-11-05,5.91,68.55,2024-06-18,44.26,2024-01-05,38.21,68.55,2024-06-18,0.77,2008-11-20,6951.14
CMI,371.03,-1.69,-6.36,0.55,2024-11-27,377.39,223.95,356.86,340.19,299.59,66.11,7.05,1.9,0,0,377.39,2024-11-26,371.03,2024-11-27,-1.13,377.39,2024-11-26,325.62,2024-11-04,12.94,377.39,2024-11-26,229.21,2024-01-19,53.84,377.39,2024-11-26,1.47,1974-12-06,6988.33
