ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,level_0,Adj Close,snp500,nasdaq100,dow30,ipo,index,sma_5,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_10,sma_21,sma_50,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
MPWR,1063.74,-1.2,-12.93,0.4,2026-01-23,250,,True,True,False,False,False,1056.6,1076.67,2026-01-22,1034.49,2026-01-20,2.83,1076.67,2026-01-22,936.31,2026-01-02,13.61,1076.67,2026-01-22,936.31,2026-01-02,13.61,1103.18,2025-10-27,5.02,2005-05-12,12527.1,1103.18,452.66,1018.56,980.76,951.27,824.32,75.89,39.77,3.74,0.94,False,False
MRVL,80.23,-3.45,-2.87,13.91,2026-01-23,250,,False,True,False,False,False,81.23,83.1,2026-01-22,79.8,2026-01-20,0.54,90.17,2026-01-05,79.8,2026-01-20,-10.18,90.17,2026-01-05,79.8,2026-01-20,-10.18,125.64,2025-01-23,1.82,2001-04-04,560.96,123.61,49.27,81.69,84.29,85.9,75.67,24.52,3.52,4.38,-1.88,False,False
MSFT,465.95,3.28,14.81,37.96,2026-01-23,250,,True,True,True,False,False,455.12,465.95,2026-01-23,444.11,2026-01-21,2.51,483.47,2026-01-07,444.11,2026-01-21,-1.48,483.47,2026-01-07,444.11,2026-01-21,-1.48,541.06,2025-10-28,0.06,1986-03-24,784477.91,541.06,352.67,461.88,472.64,480.88,482.81,45.67,10.24,2.2,0.73,False,False
MSTR,163.11,1.32,2.13,14.84,2026-01-23,250,,False,True,False,False,False,164.37,163.81,2026-01-21,160.23,2026-01-20,1.8,179.33,2026-01-14,157.16,2026-01-02,3.79,179.33,2026-01-14,157.16,2026-01-02,3.79,473.83,2024-11-20,0.45,2002-07-26,1444.24,455.9,151.95,166.46,162.46,174.34,310.37,53.37,11.27,6.91,-0.04,False,False
MU,399.65,0.52,2.07,35.32,2026-01-23,250,,True,True,False,False,False,382.82,399.65,2026-01-23,365.0,2026-01-20,9.49,399.65,2026-01-23,312.15,2026-01-05,26.7,399.65,2026-01-23,312.15,2026-01-05,26.7,399.65,2026-01-23,0.33,1986-12-08,29470.36,399.65,64.59,361.32,331.93,277.7,167.53,78.34,19.36,4.84,-0.42,True,False
NFLX,86.12,3.09,2.58,64.42,2026-01-23,250,,True,True,False,False,False,86.06,87.26,2026-01-20,83.54,2026-01-22,-1.31,91.46,2026-01-05,83.54,2026-01-22,-5.35,91.46,2026-01-05,83.54,2026-01-22,-5.35,133.91,2025-06-30,0.04,2002-10-09,71880.81,133.91,83.54,87.61,90.18,97.71,113.01,31.2,2.36,2.74,-0.11,False,False
NVDA,187.67,1.53,2.83,142.52,2026-01-23,250,,True,True,True,False,False,184.03,187.67,2026-01-23,178.07,2026-01-20,5.39,189.11,2026-01-07,178.07,2026-01-20,-0.62,189.11,2026-01-07,178.07,2026-01-20,-0.62,207.03,2025-10-29,0.03,1999-04-26,498957.47,207.03,94.29,184.59,186.42,183.82,165.69,48.26,5.32,2.83,2.66,True,False
NXPI,232.48,-1.8,-4.27,3.26,2026-01-23,250,,True,True,False,False,False,234.15,236.75,2026-01-22,230.7,2026-01-20,0.77,245.95,2026-01-06,221.28,2026-01-02,5.06,245.95,2026-01-06,221.28,2026-01-02,5.06,282.88,2024-07-16,9.49,2010-08-24,1768.64,245.95,151.41,236.87,231.84,219.56,212.84,59.07,8.07,3.47,-0.13,False,False
ODFL,174.3,-2.22,-3.95,1.66,2026-01-23,250,,True,True,False,False,False,175.32,178.4,2026-01-21,170.0,2026-01-20,2.53,178.4,2026-01-21,159.19,2026-01-02,9.49,178.4,2026-01-21,159.19,2026-01-02,9.49,229.91,2024-11-11,0.32,1995-12-27,31670.37,207.79,126.04,174.67,168.02,154.37,152.77,65.14,5.81,3.33,-0.8,False,False
ORLY,99.23,0.35,0.35,6.24,2026-01-23,250,,True,True,False,False,False,97.37,99.23,2026-01-23,95.24,2026-01-20,4.19,99.23,2026-01-23,90.34,2026-01-02,9.84,99.23,2026-01-23,90.34,2026-01-02,9.84,107.82,2025-09-11,0.15,1993-04-28,61757.53,107.82,83.6,95.95,93.55,95.72,96.42,81.82,1.93,1.94,-0.15,True,False
PANW,180.18,-1.15,-2.09,5.79,2026-01-23,250,,True,True,False,False,False,183.13,184.06,2026-01-20,180.18,2026-01-23,-2.11,193.9,2026-01-07,179.37,2026-01-02,0.45,193.9,2026-01-07,179.37,2026-01-02,0.45,221.38,2025-10-28,6.59,2013-06-24,1934.78,221.38,152.44,186.3,186.51,190.45,193.28,51.19,5.42,3.01,0.79,False,False
PAYX,106.63,-0.52,-0.56,2.63,2026-01-23,250,,True,True,False,False,False,107.92,107.42,2026-01-20,106.63,2026-01-23,-0.74,114.25,2026-01-08,106.63,2026-01-23,-1.81,114.25,2026-01-08,106.63,2026-01-23,-1.81,157.06,2025-06-06,0.06,1984-02-24,116312.85,157.06,106.63,109.65,111.15,111.82,131.54,43.96,2.33,2.18,-0.33,False,False
PCAR,122.0,-1.26,-1.56,2.36,2026-01-23,250,,True,True,False,False,False,121.91,123.56,2026-01-22,119.38,2026-01-20,2.19,123.56,2026-01-22,111.56,2026-01-02,9.36,123.56,2026-01-22,111.56,2026-01-02,9.36,123.56,2026-01-22,0.16,1980-04-23,55657.42,123.56,84.46,120.72,116.63,109.48,98.06,71.99,2.91,2.38,-0.29,False,False
PDD,106.38,0.34,0.36,5.33,2026-01-23,250,,False,True,False,False,False,105.91,106.38,2026-01-23,104.46,2026-01-20,1.84,122.66,2026-01-06,104.46,2026-01-20,-8.1,122.66,2026-01-06,104.46,2026-01-20,-8.1,202.82,2021-02-17,17.15,2018-11-13,298.43,138.13,88.35,109.65,113.26,115.67,115.82,33.44,4.1,3.85,0.63,True,False
PEP,144.58,0.12,0.18,5.87,2026-01-23,250,,True,True,False,False,False,145.94,147.66,2026-01-20,144.4,2026-01-22,-2.09,147.66,2026-01-20,137.01,2026-01-07,1.65,147.66,2026-01-20,137.01,2026-01-07,1.65,178.83,2023-05-12,0.13,1974-10-03,38156.71,152.22,124.61,144.69,143.22,145.24,139.38,55.93,2.58,1.79,-0.54,False,False
PLTR,169.6,2.23,3.7,30.21,2026-01-23,250,,True,True,False,False,False,168.06,169.6,2026-01-23,165.33,2026-01-21,0.63,181.68,2026-01-07,165.33,2026-01-21,1.04,181.68,2026-01-07,165.33,2026-01-21,1.04,207.18,2025-11-03,6.0,2022-12-27,1685.26,207.18,74.01,173.17,177.69,176.9,157.17,52.2,7.04,4.15,1.37,False,False
PYPL,56.62,-0.93,-0.53,8.74,2026-01-23,250,,True,True,False,False,False,56.33,57.15,2026-01-22,55.08,2026-01-20,2.8,59.81,2026-01-06,55.08,2026-01-20,-2.61,59.81,2026-01-06,55.08,2026-01-20,-2.61,307.82,2021-07-23,30.56,2015-09-29,54.59,90.03,55.08,56.75,58.0,60.12,67.19,43.39,1.35,2.39,-0.32,False,False
QCOM,155.82,-1.25,-1.98,7.1,2026-01-23,250,,True,True,False,False,False,156.7,157.8,2026-01-22,154.07,2026-01-20,1.14,182.45,2026-01-06,154.07,2026-01-20,-9.92,182.45,2026-01-06,154.07,2026-01-20,-9.92,219.83,2024-06-18,0.25,1992-09-23,45621.42,186.73,122.59,162.18,169.43,170.67,159.03,31.71,5.41,3.47,-0.76,False,False
REGN,753.55,-0.26,-1.96,0.72,2026-01-23,250,,True,True,False,False,False,745.04,755.51,2026-01-22,733.78,2026-01-20,2.69,812.27,2026-01-07,733.04,2026-01-16,-2.93,812.27,2026-01-07,733.04,2026-01-16,-2.93,1195.13,2024-08-27,2.98,1994-12-30,3486.88,812.27,481.73,754.47,769.25,748.87,612.58,43.14,23.26,3.09,1.8,False,False
ROP,407.61,0.03,0.13,1.71,2026-01-23,250,,True,True,False,False,False,407.93,407.61,2026-01-23,403.76,2026-01-20,0.95,437.6,2026-01-07,403.76,2026-01-20,-6.2,437.6,2026-01-07,403.76,2026-01-20,-6.2,589.91,2025-03-05,1.15,1992-07-22,24830.47,589.91,403.76,417.17,430.4,438.71,509.83,23.58,8.41,2.06,-1.46,True,False
ROST,188.55,0.82,1.54,1.98,2026-01-23,250,,True,True,False,False,False,189.99,192.32,2026-01-21,187.01,2026-01-22,-0.6,193.79,2026-01-15,182.74,2026-01-02,3.18,193.79,2026-01-15,182.74,2026-01-02,3.18,193.79,2026-01-15,0.08,1987-10-27,45831.66,193.79,121.95,191.25,187.21,179.53,152.52,60.19,3.55,1.88,-0.09,False,False
SBUX,97.62,1.87,1.79,11.76,2026-01-23,250,,True,True,False,False,False,95.31,97.62,2026-01-23,93.66,2026-01-20,4.23,97.62,2026-01-23,83.97,2026-01-02,16.26,97.62,2026-01-23,83.97,2026-01-02,16.26,113.57,2021-07-26,0.25,1992-06-26,38810.53,113.43,77.9,93.04,89.23,86.9,86.28,82.55,2.69,2.76,1.27,False,False
SHOP,137.89,0.18,0.25,9.62,2026-01-23,250,,False,True,False,False,False,142.88,144.5,2026-01-20,137.64,2026-01-22,-4.57,168.45,2026-01-06,137.64,2026-01-22,-12.28,168.45,2026-01-06,137.64,2026-01-22,-12.28,179.01,2025-10-29,1.7,2015-05-20,8011.18,179.01,76.89,152.97,159.95,158.24,135.37,31.87,7.31,5.3,-0.44,False,False
SNPS,501.39,-1.59,-8.08,1.45,2026-01-23,250,,True,True,False,False,False,512.02,521.95,2026-01-21,501.39,2026-01-23,-1.87,533.42,2026-01-12,480.42,2026-01-02,4.36,533.42,2026-01-12,480.42,2026-01-02,4.36,645.35,2025-07-30,5.66,1992-07-27,6266.86,645.35,380.9,514.4,500.63,461.12,495.48,57.52,17.96,3.58,-2.0,False,False
STX,346.1,-0.12,-0.43,2.95,2026-01-23,250,,True,True,False,False,False,337.81,346.53,2026-01-22,325.99,2026-01-20,6.17,346.53,2026-01-22,284.47,2026-01-08,20.37,346.53,2026-01-22,284.47,2026-01-08,20.37,346.53,2026-01-22,1.6,2009-01-23,6449.51,346.53,65.81,326.56,307.45,287.39,190.88,67.2,22.04,6.37,-2.06,False,False
TEAM,131.75,2.58,3.31,5.86,2026-01-23,250,,False,True,False,False,False,123.84,131.75,2026-01-23,118.06,2026-01-20,11.6,160.87,2026-01-07,118.06,2026-01-20,-14.87,160.87,2026-01-07,118.06,2026-01-20,-14.87,458.13,2021-10-29,17.92,2016-02-08,527.38,322.94,118.06,131.04,145.88,151.27,178.04,32.14,7.46,5.66,0.32,True,False
TMUS,186.03,0.35,0.64,4.83,2026-01-23,250,,True,True,False,False,False,185.0,186.03,2026-01-23,183.6,2026-01-21,1.3,200.86,2026-01-05,183.6,2026-01-21,-6.79,200.86,2026-01-05,183.6,2026-01-21,-6.79,269.54,2025-03-03,8.85,2010-01-28,324.09,269.54,183.6,189.54,195.11,201.04,227.43,28.97,4.27,2.3,-0.9,False,False
TRI,123.4,1.27,1.55,0.83,2026-01-23,250,,False,True,False,False,False,122.08,123.4,2026-01-23,120.11,2026-01-21,1.96,130.45,2026-01-06,120.11,2026-01-21,-2.34,130.45,2026-01-06,120.11,2026-01-21,-2.34,212.55,2025-07-14,12.27,2002-09-23,651.79,212.55,120.11,124.72,127.99,131.25,166.73,43.32,3.0,2.43,-0.53,False,False
TSLA,449.06,-0.07,-0.3,56.64,2026-01-23,250,,True,True,False,False,False,437.32,449.36,2026-01-22,419.25,2026-01-20,7.11,451.67,2026-01-05,419.25,2026-01-20,2.51,451.67,2026-01-05,419.25,2026-01-20,2.51,489.88,2025-12-16,1.05,2010-07-07,28095.47,489.88,221.86,440.56,447.88,442.4,372.76,54.93,14.5,3.23,-1.93,False,False
TTWO,245.73,1.92,4.63,1.17,2026-01-23,250,,True,True,False,False,False,241.16,245.73,2026-01-23,238.23,2026-01-21,2.13,257.31,2026-01-05,238.23,2026-01-21,-2.33,257.31,2026-01-05,238.23,2026-01-21,-2.33,262.29,2025-10-20,3.33,1997-12-29,6174.34,262.29,183.08,244.28,249.6,245.69,238.83,42.25,5.73,2.33,0.04,False,False
TXN,193.31,-0.86,-1.68,6.69,2026-01-23,250,,True,True,False,False,False,192.78,194.99,2026-01-22,189.59,2026-01-20,1.96,194.99,2026-01-22,177.17,2026-01-05,8.89,194.99,2026-01-22,177.17,2026-01-05,8.89,217.72,2025-07-11,0.52,1974-09-27,27691.14,217.72,142.07,191.44,185.29,176.55,180.66,66.17,6.01,3.11,0.77,False,False
VRSK,218.04,-0.21,-0.46,1.04,2026-01-23,250,,True,True,False,False,False,218.41,218.5,2026-01-22,216.59,2026-01-21,-0.21,224.87,2026-01-09,216.59,2026-01-21,-1.35,224.87,2026-01-09,216.59,2026-01-21,-1.35,319.65,2025-06-04,25.09,2009-10-12,738.12,319.65,207.57,221.0,221.23,220.25,262.42,43.38,4.34,1.99,-1.33,False,False
VRTX,468.41,0.23,1.06,1.33,2026-01-23,250,,True,True,False,False,False,456.07,468.41,2026-01-23,442.08,2026-01-20,5.96,484.15,2026-01-07,438.92,2026-01-15,3.6,484.15,2026-01-07,438.92,2026-01-15,3.6,516.74,2024-11-08,3.38,1992-06-18,10309.11,513.76,366.54,454.79,458.24,447.96,436.87,57.18,13.93,2.97,-2.12,True,False
WBD,28.58,0.78,0.22,19.18,2026-01-23,250,,True,True,False,False,False,28.46,28.58,2026-01-23,28.24,2026-01-20,1.2,28.89,2026-01-09,28.24,2026-01-20,0.25,28.89,2026-01-09,28.24,2026-01-20,0.25,77.27,2021-03-19,5.25,2008-10-24,302.85,29.98,7.69,28.56,28.65,26.81,16.64,51.01,0.56,1.95,-0.1,False,False
WDAY,189.26,0.57,1.08,2.51,2026-01-23,250,,True,True,False,False,False,186.14,189.26,2026-01-23,182.99,2026-01-20,3.43,211.14,2026-01-07,182.99,2026-01-20,-8.03,211.14,2026-01-07,182.99,2026-01-20,-8.03,307.21,2024-02-26,46.99,2012-11-12,288.7,277.82,182.99,193.21,203.89,213.81,231.45,29.94,5.62,2.97,-1.17,True,False
WDC,236.39,-2.84,-6.9,6.1,2026-01-23,250,,True,True,False,False,False,233.21,243.29,2026-01-22,222.97,2026-01-20,6.02,243.29,2026-01-22,187.68,2026-01-08,25.94,243.29,2026-01-22,187.68,2026-01-08,25.94,243.29,2026-01-22,0.42,1978-12-18,34661.06,243.29,30.42,222.98,203.79,180.89,104.49,69.16,16.8,7.11,-2.54,False,False
WMT,117.73,-0.08,-0.1,20.79,2026-01-23,250,,True,True,True,False,False,118.67,119.36,2026-01-21,117.73,2026-01-23,-0.83,120.36,2026-01-13,112.71,2026-01-05,4.41,120.36,2026-01-13,112.71,2026-01-05,4.41,120.36,2026-01-13,0.0,1974-12-10,1021124.81,120.36,81.24,118.54,115.29,112.16,102.04,65.66,2.81,2.38,0.34,False,False
XEL,75.01,-1.12,-0.85,4.21,2026-01-23,250,,True,True,False,False,False,75.84,76.51,2026-01-21,75.01,2026-01-23,-1.57,76.51,2026-01-21,73.22,2026-01-07,0.44,76.51,2026-01-21,73.22,2026-01-07,0.44,81.48,2025-11-28,0.56,1974-10-02,7212.03,81.48,63.98,75.4,74.61,76.16,72.82,51.8,1.4,1.86,-0.5,False,False
ZS,209.62,0.63,1.31,1.51,2026-01-23,250,,False,True,False,False,False,209.38,209.62,2026-01-23,206.32,2026-01-20,1.6,231.16,2026-01-07,206.32,2026-01-20,-4.96,231.16,2026-01-07,206.32,2026-01-20,-4.96,368.78,2021-11-19,24.95,2018-05-25,535.21,336.27,174.67,212.2,219.46,243.62,270.26,38.62,7.05,3.36,0.83,False,False
