ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,level_0,Adj Close,snp500,nasdaq100,dow30,ipo,index,sma_5,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_10,sma_21,sma_50,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
ASML,1389.04,-0.43,-5.96,1.55,2026-01-23,250,,False,True,False,False,False,1365.75,1395.0,2026-01-22,1326.07,2026-01-20,4.75,1395.0,2026-01-22,1163.78,2026-01-02,19.36,1395.0,2026-01-22,1163.78,2026-01-02,19.36,1395.0,2026-01-22,1.77,1995-03-15,78456.22,1395.0,590.98,1324.94,1224.5,1126.68,886.62,76.02,45.56,3.28,-18.68,False,False
AVGO,320.05,-1.67,-5.44,30.22,2026-01-23,250,,True,True,False,False,False,331.73,332.6,2026-01-20,320.05,2026-01-23,-3.77,354.61,2026-01-13,320.05,2026-01-23,-7.93,354.61,2026-01-13,320.05,2026-01-23,-7.93,412.18,2025-12-10,1.02,2009-11-03,27980.13,412.18,145.42,339.34,342.91,355.69,300.58,35.67,13.53,4.23,-6.19,False,True
AXON,613.14,0.96,5.85,0.42,2026-01-23,250,,True,True,False,False,False,617.45,620.52,2026-01-20,607.29,2026-01-22,-1.19,641.51,2026-01-13,563.45,2026-01-02,8.82,641.51,2026-01-13,563.45,2026-01-02,8.82,870.97,2025-08-07,0.28,2002-10-15,133191.31,870.97,496.65,625.86,607.63,574.68,685.49,65.39,24.49,3.99,1.51,False,False
BKNG,5098.5,-1.02,-52.4,0.21,2026-01-23,250,,True,True,False,False,False,5111.18,5163.61,2026-01-21,5027.0,2026-01-20,1.42,5492.11,2026-01-09,5027.0,2026-01-20,-4.22,5492.11,2026-01-09,5027.0,2026-01-20,-4.22,5794.84,2025-07-07,6.49,2002-10-09,942.12,5794.84,4141.9,5213.43,5314.94,5179.05,5287.91,37.34,138.49,2.72,-83.66,False,False
BKR,53.92,-0.99,-0.54,15.01,2026-01-23,250,,True,True,False,False,False,53.0,54.46,2026-01-22,51.26,2026-01-20,5.19,54.46,2026-01-22,47.14,2026-01-02,14.38,54.46,2026-01-22,47.14,2026-01-02,14.38,54.46,2026-01-22,3.92,1987-11-30,767.78,54.46,34.43,51.39,49.11,48.46,43.53,72.72,1.72,3.2,0.85,False,False
CCEP,89.85,0.22,0.2,0.84,2026-01-23,250,,False,True,False,False,False,89.73,90.29,2026-01-20,89.55,2026-01-21,-0.49,90.29,2026-01-20,85.43,2026-01-07,1.86,90.29,2026-01-20,85.43,2026-01-07,1.86,98.61,2025-07-24,1.1,1992-08-24,5810.64,98.61,74.81,89.28,89.37,90.27,89.64,57.04,1.77,1.97,-0.62,False,False
CDNS,318.32,0.39,1.23,1.47,2026-01-23,250,,True,True,False,False,False,314.74,318.32,2026-01-23,307.0,2026-01-20,3.69,327.31,2026-01-09,301.22,2026-01-05,2.55,327.31,2026-01-09,301.22,2026-01-05,2.55,373.37,2025-09-22,0.86,1987-12-07,15816.0,373.37,231.64,318.34,316.59,317.4,322.19,54.65,11.09,3.48,-1.59,True,False
CEG,289.06,0.6,1.71,3.78,2026-01-23,250,,True,True,False,False,False,294.78,295.4,2026-01-20,287.35,2026-01-22,-2.15,366.25,2026-01-02,287.35,2026-01-22,-21.08,366.25,2026-01-02,287.35,2026-01-22,-21.08,403.49,2025-10-15,40.51,2022-01-25,611.81,403.49,170.33,315.74,335.66,346.71,320.79,22.86,16.92,5.85,0.09,False,False
CHTR,191.69,-0.51,-0.98,1.42,2026-01-23,250,,True,True,False,False,False,189.14,192.67,2026-01-22,184.2,2026-01-20,4.07,210.62,2026-01-06,184.2,2026-01-20,-8.41,210.62,2026-01-06,184.2,2026-01-20,-8.41,821.01,2021-09-02,29.5,2010-02-25,447.69,427.25,184.2,195.78,202.48,203.32,293.42,33.88,7.22,3.77,-0.86,False,False
CMCSA,29.3,0.24,0.07,29.38,2026-01-23,250,,True,True,False,False,False,28.68,29.3,2026-01-23,28.16,2026-01-20,4.05,29.3,2026-01-23,27.1,2026-01-06,7.07,29.3,2026-01-23,27.1,2026-01-06,7.07,50.42,2021-09-02,0.05,1980-03-27,50510.67,34.41,24.51,28.51,28.01,26.61,29.34,67.08,0.78,2.68,-0.25,True,False
