ticker,last_close,last_change_pct,last_change,last_volume(M),last_date,index,Date,Close,Volume,sma_5,sma_10,sma_21,sma_50,max_value_latest_week,max_date_latest_week,min_value_latest_week,min_date_latest_week,pct_change_latest_week,max_value_latest_month,max_date_latest_month,min_value_latest_month,min_date_latest_month,pct_change_latest_month,max_value_latest_year,max_date_latest_year,min_value_latest_year,min_date_latest_year,pct_change_latest_year,max_value_all_time,max_date_all_time,min_value_all_time,min_date_all_time,pct_change_all_time,fiftytwo_week_high,fiftytwo_week_low,sma_200,rsi,atr,atr%,gap,up_3_days,down_3_days
IBM,223.18,-0.35,-0.78,1.84,2025-01-08,250,2025-01-08,223.18,1.84,222.48,222.46,225.1,220.14,223.96,2025-01-07,222.67,2025-01-06,0.23,223.96,2025-01-07,219.94,2025-01-02,1.47,223.96,2025-01-07,219.94,2025-01-02,1.47,238.04,2024-12-06,0.8,1962-06-14,14763.92,238.04,155.6,195.89,49.23,4.22,1.89,-0.05,False,False
JNJ,142.27,-2.71,-3.96,9.02,2025-01-08,250,2025-01-08,142.27,9.02,144.07,144.48,145.31,150.6,146.23,2025-01-07,142.27,2025-01-08,-0.97,146.23,2025-01-07,142.27,2025-01-08,-1.22,146.23,2025-01-07,142.27,2025-01-08,-1.22,171.61,2022-04-25,0.04,1962-10-23,227463.02,166.05,141.08,152.26,36.34,2.3,1.62,-0.74,False,False
JPM,243.13,-0.02,-0.04,8.67,2025-01-08,250,2025-01-08,243.13,8.67,241.59,240.74,239.18,238.46,243.17,2025-01-07,240.85,2025-01-06,0.95,243.17,2025-01-07,238.77,2025-01-02,1.83,243.17,2025-01-07,238.77,2025-01-02,1.83,249.0,2024-11-25,1.06,1980-03-28,22847.65,249.0,163.36,211.21,57.14,4.27,1.76,-0.42,False,False
KO,61.71,1.43,0.87,14.09,2025-01-08,250,2025-01-08,61.71,14.09,61.39,61.91,62.4,63.02,61.71,2025-01-08,60.81,2025-01-06,1.48,61.84,2025-01-02,60.81,2025-01-06,-0.21,61.84,2025-01-02,60.81,2025-01-06,-0.21,71.97,2024-09-03,0.03,1962-06-27,132949.67,71.97,56.79,64.23,42.9,0.92,1.49,0.15,False,False
MCD,286.9,-0.84,-2.44,2.72,2025-01-08,250,2025-01-08,286.9,2.72,291.14,291.76,293.71,293.57,292.18,2025-01-06,286.9,2025-01-08,-1.81,294.78,2025-01-03,286.9,2025-01-08,-1.92,294.78,2025-01-03,286.9,2025-01-08,-1.92,314.67,2024-10-18,0.07,1966-10-06,248734.44,314.67,242.94,277.36,38.95,4.57,1.59,-0.37,False,True
MMM,134.53,1.33,1.76,4.46,2025-01-08,250,2025-01-08,134.53,4.46,131.43,130.71,129.82,130.04,134.53,2025-01-08,130.29,2025-01-06,3.25,134.53,2025-01-08,129.7,2025-01-02,3.72,134.53,2025-01-08,129.7,2025-01-02,3.72,166.5,2018-01-26,0.36,1962-06-22,23586.68,138.7,74.69,115.96,64.16,2.37,1.76,-0.74,True,False
MRK,99.85,-1.16,-1.17,6.96,2025-01-08,250,2025-01-08,99.85,6.96,99.78,99.58,99.76,99.94,101.02,2025-01-07,99.72,2025-01-06,0.13,101.02,2025-01-07,99.14,2025-01-03,0.69,101.02,2025-01-07,99.14,2025-01-03,0.69,131.03,2024-06-24,0.05,1962-06-22,149760.51,131.03,95.55,115.08,49.42,1.95,1.95,-0.32,False,False
MSFT,424.56,0.52,2.19,14.86,2025-01-08,250,2025-01-08,424.56,14.86,423.34,427.1,436.12,428.11,427.85,2025-01-06,422.37,2025-01-07,-0.77,427.85,2025-01-06,418.58,2025-01-02,1.43,427.85,2025-01-06,418.58,2025-01-02,1.43,465.79,2024-07-05,0.06,1986-03-24,709549.15,465.79,379.93,423.92,44.18,8.11,1.91,1.51,False,False
NKE,71.29,-1.11,-0.8,10.41,2025-01-08,250,2025-01-08,71.29,10.41,72.47,74.28,75.91,76.41,72.09,2025-01-07,71.29,2025-01-08,-0.99,73.67,2025-01-02,71.29,2025-01-08,-3.23,73.67,2025-01-02,71.29,2025-01-08,-3.23,170.15,2021-11-05,0.08,1984-10-31,56266.98,105.37,70.41,82.52,28.86,1.76,2.48,-0.53,False,False
NVDA,140.11,-0.02,-0.03,218.99,2025-01-08,250,2025-01-08,140.11,218.99,142.49,140.14,137.26,139.96,149.43,2025-01-06,140.11,2025-01-08,-6.24,149.43,2025-01-06,138.31,2025-01-02,1.3,149.43,2025-01-06,138.31,2025-01-02,1.3,149.43,2025-01-06,0.03,1999-04-26,372382.67,149.43,54.33,119.14,51.47,5.9,4.21,2.52,False,False
PG,162.1,0.5,0.8,3.46,2025-01-08,250,2025-01-08,162.1,3.46,163.02,165.85,168.1,169.56,162.1,2025-01-08,160.6,2025-01-06,0.93,165.98,2025-01-02,160.6,2025-01-06,-2.34,165.98,2025-01-02,160.6,2025-01-06,-2.34,179.7,2024-12-02,0.16,1962-06-27,63567.68,179.7,144.89,166.45,31.82,2.37,1.46,-0.31,False,False
SHW,337.54,0.94,3.14,1.4,2025-01-08,250,2025-01-08,337.54,1.4,335.89,339.35,350.19,368.24,337.82,2025-01-06,334.4,2025-01-07,-0.08,337.82,2025-01-06,333.16,2025-01-02,1.31,337.82,2025-01-06,333.16,2025-01-02,1.31,399.71,2024-11-25,0.13,1980-03-27,227236.38,399.71,290.83,342.89,32.65,6.81,2.02,0.77,False,False
TRV,242.77,0.45,1.09,1.21,2025-01-08,250,2025-01-08,242.77,1.21,241.9,241.83,242.76,250.42,242.77,2025-01-08,241.68,2025-01-07,0.37,242.77,2025-01-08,240.89,2025-01-02,0.78,242.77,2025-01-08,240.89,2025-01-02,0.78,265.55,2024-11-27,2.18,1976-06-11,7923.67,265.55,189.64,227.07,44.48,4.37,1.8,1.83,False,False
UNH,524.52,2.0,10.27,4.06,2025-01-08,250,2025-01-08,524.52,4.06,513.99,511.08,513.61,557.13,524.52,2025-01-08,513.67,2025-01-06,2.11,524.52,2025-01-08,504.51,2025-01-02,3.97,524.52,2025-01-08,504.51,2025-01-02,3.97,622.86,2024-11-11,0.07,1987-11-17,458378.67,622.86,434.13,536.33,48.1,13.33,2.54,0.24,True,False
V,312.6,0.3,0.93,3.86,2025-01-08,250,2025-01-08,312.6,3.86,313.32,315.82,315.02,309.32,313.04,2025-01-06,311.67,2025-01-07,-0.14,314.91,2025-01-03,311.67,2025-01-07,-0.57,314.91,2025-01-03,311.67,2025-01-07,-0.57,320.91,2024-12-26,9.46,2009-01-20,2389.62,320.91,252.75,281.74,49.02,4.5,1.44,-0.67,False,False
VZ,38.94,0.05,0.02,18.81,2025-01-08,250,2025-01-08,38.94,18.81,39.59,39.72,40.47,41.42,39.61,2025-01-06,38.92,2025-01-07,-1.69,40.26,2025-01-03,38.92,2025-01-07,-3.16,40.26,2025-01-03,38.92,2025-01-07,-3.16,48.91,2020-12-03,1.04,1983-12-27,3359.92,44.52,36.13,40.66,28.57,0.65,1.67,-0.01,False,False
WMT,91.8,1.09,0.99,8.42,2025-01-08,250,2025-01-08,91.8,8.42,90.96,91.29,92.55,89.26,91.8,2025-01-08,90.81,2025-01-07,0.4,91.8,2025-01-08,90.0,2025-01-02,2.0,91.8,2025-01-08,90.0,2025-01-02,2.0,95.49,2024-12-06,0.0,1974-12-10,788650.18,95.49,52.87,74.32,52.57,1.53,1.66,0.3,False,False
